region,category,parameter,mode,powertrain,year,unit,value
Denmark,Historical,EV chargers,,Publicly available fast,2020,,555
Denmark,Historical,EV chargers,,Publicly available slow,2020,,2699
Europe,Historical,EV chargers,,Publicly available slow,2010,,3200
Europe,Historical,EV chargers,,Publicly available fast,2011,,31
Europe,Historical,EV chargers,,Publicly available slow,2011,,6129
Europe,Historical,EV chargers,,Publicly available fast,2012,,350
Europe,Historical,EV chargers,,Publicly available slow,2012,,17134
Europe,Historical,EV chargers,,Publicly available fast,2013,,2020
Europe,Historical,EV chargers,,Publicly available slow,2013,,27643
Europe,Historical,EV chargers,,Publicly available fast,2014,,2832.7919921875
Europe,Historical,EV chargers,,Publicly available slow,2014,,38665.79296875
Europe,Historical,EV chargers,,Publicly available fast,2015,,5591
Europe,Historical,EV chargers,,Publicly available slow,2015,,61290
Europe,Historical,EV chargers,,Publicly available fast,2016,,9330
Europe,Historical,EV chargers,,Publicly available slow,2016,,112583
Europe,Historical,EV chargers,,Publicly available fast,2017,,11028
Europe,Historical,EV chargers,,Publicly available slow,2017,,122306
Europe,Historical,EV chargers,,Publicly available fast,2018,,15757
Europe,Historical,EV chargers,,Publicly available slow,2018,,136361
Europe,Historical,EV chargers,,Publicly available fast,2019,,24714
Europe,Historical,EV chargers,,Publicly available slow,2019,,187254
Europe,Historical,EV chargers,,Publicly available fast,2020,,38262
Europe,Historical,EV chargers,,Publicly available slow,2020,,247798
Finland,Historical,EV chargers,,Publicly available fast,2013,,17
Finland,Historical,EV chargers,,Publicly available slow,2013,,250
Finland,Historical,EV chargers,,Publicly available fast,2014,,26
Finland,Historical,EV chargers,,Publicly available slow,2014,,357
Finland,Historical,EV chargers,,Publicly available fast,2015,,130
Finland,Historical,EV chargers,,Publicly available slow,2015,,706
Finland,Historical,EV chargers,,Publicly available fast,2016,,141
Finland,Historical,EV chargers,,Publicly available slow,2016,,706
Finland,Historical,EV chargers,,Publicly available fast,2017,,141
Finland,Historical,EV chargers,,Publicly available slow,2017,,706
Finland,Historical,EV chargers,,Publicly available fast,2018,,225
Finland,Historical,EV chargers,,Publicly available slow,2018,,706
Finland,Historical,EV chargers,,Publicly available fast,2019,,338
Finland,Historical,EV chargers,,Publicly available slow,2019,,1786
Finland,Historical,EV chargers,,Publicly available fast,2020,,390
Finland,Historical,EV chargers,,Publicly available slow,2020,,3870
France,Historical,EV chargers,,Publicly available fast,2012,,9
France,Historical,EV chargers,,Publicly available slow,2012,,800
France,Historical,EV chargers,,Publicly available fast,2013,,102
France,Historical,EV chargers,,Publicly available slow,2013,,1700
France,Historical,EV chargers,,Publicly available fast,2014,,114
France,Historical,EV chargers,,Publicly available slow,2014,,1700
France,Historical,EV chargers,,Publicly available fast,2015,,580
France,Historical,EV chargers,,Publicly available slow,2015,,9865
France,Historical,EV chargers,,Publicly available fast,2016,,998
France,Historical,EV chargers,,Publicly available slow,2016,,18620
France,Historical,EV chargers,,Publicly available fast,2017,,1031
France,Historical,EV chargers,,Publicly available slow,2017,,20153
France,Historical,EV chargers,,Publicly available fast,2018,,1713
France,Historical,EV chargers,,Publicly available slow,2018,,22569
France,Historical,EV chargers,,Publicly available fast,2019,,2040
France,Historical,EV chargers,,Publicly available slow,2019,,27661
France,Historical,EV chargers,,Publicly available fast,2020,,4045
France,Historical,EV chargers,,Publicly available slow,2020,,42000
Germany,Historical,EV chargers,,Publicly available fast,2012,,18
Germany,Historical,EV chargers,,Publicly available slow,2012,,1500
Germany,Historical,EV chargers,,Publicly available fast,2013,,47
Germany,Historical,EV chargers,,Publicly available slow,2013,,2400
Germany,Historical,EV chargers,,Publicly available fast,2014,,116
Germany,Historical,EV chargers,,Publicly available slow,2014,,2606
Germany,Historical,EV chargers,,Publicly available fast,2015,,471
Germany,Historical,EV chargers,,Publicly available slow,2015,,4587
Germany,Historical,EV chargers,,Publicly available fast,2016,,1688
Germany,Historical,EV chargers,,Publicly available slow,2016,,22213
Germany,Historical,EV chargers,,Publicly available fast,2017,,1801
Germany,Historical,EV chargers,,Publicly available slow,2017,,22213
Germany,Historical,EV chargers,,Publicly available fast,2018,,3352
Germany,Historical,EV chargers,,Publicly available slow,2018,,23112
Germany,Historical,EV chargers,,Publicly available fast,2019,,5088
Germany,Historical,EV chargers,,Publicly available slow,2019,,34203
Germany,Historical,EV chargers,,Publicly available fast,2020,,7456
Germany,Historical,EV chargers,,Publicly available slow,2020,,37213
Iceland,Historical,EV chargers,,Publicly available fast,2014,,6
Iceland,Historical,EV chargers,,Publicly available fast,2015,,11
Iceland,Historical,EV chargers,,Publicly available slow,2015,,11
Iceland,Historical,EV chargers,,Publicly available fast,2016,,40
Iceland,Historical,EV chargers,,Publicly available slow,2016,,11
Iceland,Historical,EV chargers,,Publicly available fast,2017,,36
Iceland,Historical,EV chargers,,Publicly available slow,2017,,32
Iceland,Historical,EV chargers,,Publicly available fast,2018,,55
Iceland,Historical,EV chargers,,Publicly available slow,2018,,40
Iceland,Historical,EV chargers,,Publicly available fast,2019,,152
Iceland,Historical,EV chargers,,Publicly available slow,2019,,110
Iceland,Historical,EV chargers,,Publicly available fast,2020,,190
Iceland,Historical,EV chargers,,Publicly available slow,2020,,288
Italy,Historical,EV chargers,,Publicly available fast,2012,,1
Italy,Historical,EV chargers,,Publicly available slow,2012,,1350
Italy,Historical,EV chargers,,Publicly available fast,2013,,6
Italy,Historical,EV chargers,,Publicly available slow,2013,,1350
Italy,Historical,EV chargers,,Publicly available fast,2014,,10
Italy,Historical,EV chargers,,Publicly available slow,2014,,1350
Italy,Historical,EV chargers,,Publicly available fast,2015,,70
Italy,Historical,EV chargers,,Publicly available slow,2015,,1679
Italy,Historical,EV chargers,,Publicly available fast,2016,,166
Italy,Historical,EV chargers,,Publicly available slow,2016,,2298
Italy,Historical,EV chargers,,Publicly available fast,2017,,393
Italy,Historical,EV chargers,,Publicly available slow,2017,,2424
Italy,Historical,EV chargers,,Publicly available fast,2018,,573
Italy,Historical,EV chargers,,Publicly available slow,2018,,2860
Italy,Historical,EV chargers,,Publicly available fast,2019,,864
Italy,Historical,EV chargers,,Publicly available slow,2019,,8312
Italy,Historical,EV chargers,,Publicly available fast,2020,,1231
Italy,Historical,EV chargers,,Publicly available slow,2020,,12150
Japan,Historical,EV chargers,,Publicly available fast,2010,,312
Japan,Historical,EV chargers,,Publicly available fast,2011,,801
Japan,Historical,EV chargers,,Publicly available fast,2012,,1381
Japan,Historical,EV chargers,,Publicly available fast,2013,,1794
Japan,Historical,EV chargers,,Publicly available fast,2014,,2871
Japan,Historical,EV chargers,,Publicly available slow,2014,,8640
Japan,Historical,EV chargers,,Publicly available fast,2015,,5971
Japan,Historical,EV chargers,,Publicly available slow,2015,,16120
Japan,Historical,EV chargers,,Publicly available fast,2016,,7061
