product,segment
All vehicles,All vehicles
City car,hatchback
CNG,CNG
Diesel,Diesel
Electric,Electric
Flexfuel,Flexfuel
Hybrid,Hybrid
Hydrogen,Hydrogen
Large car,sedan
Large SUV/Pick-up,suv
LPG,LPG
Medium car,sedan
Petrol,Petrol
Plug-in,Plug-in
Small SUV/Pick-up,suv
Van/LCV,spv
