region,year,product,lge_per_100km
Australia,2013,Small SUV/Pick-up,8.98
Australia,2013,Van/LCV,10.08
Australia,2014,All vehicles,8.64
Australia,2014,City car,6.73
Australia,2014,Diesel,9.18
Australia,2014,Electric,1.55
Australia,2014,Hybrid,4.91
Australia,2014,Large car,8.71
Australia,2014,Large SUV/Pick-up,10.41
Australia,2014,LPG,10.7
Australia,2014,Medium car,7.53
Australia,2014,Petrol,8.48
Australia,2014,Plug-in,1.9
Australia,2014,Small SUV/Pick-up,8.77
Australia,2014,Van/LCV,8.01
Australia,2015,All vehicles,8.54
Australia,2015,City car,6.58
Australia,2015,Diesel,9.07
Australia,2015,Electric,1.42
Australia,2015,Hybrid,5.16
Australia,2015,Large car,8.58
Australia,2015,Large SUV/Pick-up,10.18
Australia,2015,LPG,10.71
Australia,2015,Medium car,7.53
Australia,2015,Petrol,8.39
Australia,2015,Plug-in,1.9
Australia,2015,Small SUV/Pick-up,8.61
Australia,2015,Van/LCV,7.61
Australia,2016,All vehicles,8.37
Australia,2016,City car,6.54
Australia,2016,Diesel,8.82
Australia,2016,Electric,1.74
Australia,2016,Hybrid,4.76
Australia,2016,Large car,8.78
Australia,2016,Large SUV/Pick-up,9.7
Australia,2016,LPG,10.6
Australia,2016,Medium car,7.37
Australia,2016,Petrol,8.23
Australia,2016,Plug-in,3.02
Australia,2016,Small SUV/Pick-up,8.14
Australia,2016,Van/LCV,10.19
Australia,2017,All vehicles,8.32
Australia,2017,City car,6.47
Australia,2017,Diesel,8.95
Australia,2017,Electric,1.57
Australia,2017,Hybrid,4.71
Australia,2017,Large car,9.02
Australia,2017,Large SUV/Pick-up,9.67
Australia,2017,LPG,10.6
Australia,2017,Medium car,7.05
Australia,2017,Petrol,8.08
Australia,2017,Plug-in,2.92
Australia,2017,Small SUV/Pick-up,8.01
Australia,2017,Van/LCV,10.16
Australia,2018,All vehicles,8.28
Australia,2018,City car,6.39
Australia,2018,Diesel,8.62
Australia,2018,Electric,1.9
Australia,2018,Hybrid,5.25
Australia,2018,Large car,8.93
Australia,2018,Large SUV/Pick-up,9.32
Australia,2018,Medium car,7.27
Australia,2018,Petrol,8.18
Australia,2018,Plug-in,2.31
Australia,2018,Small SUV/Pick-up,8.12
Australia,2018,Van/LCV,8.82
Australia,2019,All vehicles,8.27
Australia,2019,City car,6.28
Australia,2019,Diesel,8.73
Australia,2019,Electric,2.02
Australia,2019,Hybrid,4.91
Australia,2019,Large car,8.63
Australia,2019,Large SUV/Pick-up,9.33
Australia,2019,Medium car,7.28
Australia,2019,Petrol,8.23
Australia,2019,Plug-in,2.35
Australia,2019,Small SUV/Pick-up,8.08
Australia,2019,Van/LCV,8.7
Brazil,2005,Diesel,9.91
Brazil,2005,Flexfuel,8.5
Brazil,2005,Petrol,8.26
Brazil,2008,Diesel,9.29
Brazil,2008,Flexfuel,8.45
Brazil,2008,Petrol,8.84
