segment,CO2e_grams_per_km_petrol,CO2e_grams_per_km_electric
hatchback,142.5160009860993,65.95627772797005
sedan,167.18742848350882,70.96834592169351
suv,201.12399885654642,76.77852143205016
spv,200.0460022449507,102.75741971157998
