region,year,renewables_pct,CO2e_grams_per_km_electric
Afghanistan,2019,0.8527131784624703,18.801376132466455
Albania,2019,1.0,4.846582138095819
Algeria,2019,0.009851479608411208,97.69533264303556
American Samoa,2019,0.0,130.77522935779817
Angola,2019,0.8110872531181763,26.444611081785737
Antigua and Barbuda,2019,0.043902439822191885,125.43135591094584
Argentina,2019,0.32244535569016913,70.04898154609779
Armenia,2019,0.605292928870082,41.1661090966661
Aruba,2019,0.1479878596436955,111.82351105824931
Australia,2019,0.21444372729339392,117.14983011245299
Austria,2019,0.7696641838590745,32.72915215100591
Azerbaijan,2019,0.0765850607026834,106.6430474153477
Bahamas,2019,0.0018280049417975382,130.55272174526576
Bahrain,2019,0.00032900293546618184,98.58569069588184
Bangladesh,2019,0.015654704385770404,105.56924374778673
Barbados,2019,0.03942181300780777,125.97674479492618
Belarus,2019,0.027562143050158045,96.50471674748341
Belgium,2019,0.6775077168142222,38.50789769964141
Belize,2019,0.9640324200383538,26.758113481746843
Benin,2019,0.03389004419382706,105.86538028763366
Bermuda,2019,0.0,130.77522935779817
Bhutan,2019,0.9999929403953353,4.829756473427495
Bolivia,2019,0.3848891335287704,64.10132536440763
Bosnia and Herzegovina,2019,0.3876267114774946,102.90330363726251
Botswana,2019,0.0016508914698593051,164.72056753487277
Brazil,2019,0.8552436736504183,26.156537700511933
British Virgin Islands,2019,0.022398572098654774,127.925911342677
Brunei,2019,0.000491891999135157,98.54036421802051
Bulgaria,2019,0.5418316809092019,75.48977319328255
Burkina Faso,2019,0.15619389501621542,111.35632348376282
Burundi,2019,0.6740860982384353,46.89284834789359
Cambodia,2019,0.5429022464377152,77.91695657191734
Cameroon,2019,0.6193117399861071,43.300590007142695
Canada,2019,0.8201665749255495,27.485406009419204
Cayman Islands,2019,0.023253470761877726,127.94478062978142
Central African Republic,2019,0.9933774833926515,5.662707339804305
Chad,2019,0.03896103686664965,125.76631624685947
Chile,2019,0.4647018474608674,79.07472854216084
China,2019,0.32647145983342807,110.61437425939089
