region,year,geo_type,CO2e_grams_per_km_electric
Qatar,2019,Countries,98.47599303971704
Reunion,2019,Countries,92.78721902672933
Romania,2019,Countries,57.224274213982994
Russia,2019,Countries,74.51290702480787
Rwanda,2019,Countries,57.37733765700943
Saint Helena,2019,Countries,130.77522935779817
Saint Kitts and Nevis,2019,Countries,125.7884716689761
Saint Lucia,2019,Countries,129.77248097036616
Saint Pierre and Miquelon,2019,Countries,130.77522935779817
Saint Vincent and the Grenadines,2019,Countries,108.63128465945213
Samoa,2019,Countries,87.53080322627932
Sao Tome and Principe,2019,Countries,121.44585122054356
Saudi Arabia,2019,Countries,111.78149789440577
Senegal,2019,Countries,117.49705128379644
Serbia,2019,Countries,114.15310408619129
Seychelles,2019,Countries,129.37074988293503
Sierra Leone,2019,Countries,44.44656642076195
Singapore,2019,Countries,106.10720904761033
Slovakia,2019,Countries,32.150300887508216
Slovenia,2019,Countries,53.16484799456613
Solomon Islands,2019,Countries,126.02987301939434
Somalia,2019,Countries,124.62309176342049
South Africa,2019,Countries,145.57234409766286
South Korea,2019,Countries,97.99564154586419
South Sudan,2019,Countries,130.1106330320599
Spain,2019,Countries,49.1068966383635
Sri Lanka,2019,Countries,80.80788368828995
Sudan,2019,Countries,52.313353411295665
Suriname,2019,Countries,51.51008617544414
Sweden,2019,Countries,10.482155261777939
Switzerland,2019,Countries,7.926867302950208
Syria,2019,Countries,110.6066917160633
Taiwan,2019,Countries,113.4986505126457
Tajikistan,2019,Countries,13.57700076244566
Tanzania,2019,Countries,71.93391397201117
Thailand,2019,Countries,99.38906761449554
Togo,2019,Countries,122.84600300825281
Tonga,2019,Countries,130.77522935779817
Trinidad and Tobago,2019,Countries,102.59601345487243
Tunisia,2019,Countries,95.08803117201116
Turkey,2019,Countries,82.99313083810165
Turkmenistan,2019,Countries,119.7854761097222
Turks and Caicos Islands,2019,Countries,130.77522935779817
U.S. Pacific Islands,2019,Countries,130.77522935779817
Uganda,2019,Countries,18.180325485741804
Ukraine,2019,Countries,60.11494344914602
United Arab Emirates,2019,Countries,95.71142671110445
United Kingdom,2019,Countries,54.64178365663884
United States,2019,Countries,79.35881454812433
United States Virgin Islands,2019,Countries,129.24412277073725
Uruguay,2019,Countries,14.845478928994934
Uzbekistan,2019,Countries,104.3483335098337
Vanuatu,2019,Countries,113.82310259798575
Venezuela,2019,Countries,43.777801084911985
Vietnam,2019,Countries,106.08336391879135
Yemen,2019,Countries,96.6907837025594
Zambia,2019,Countries,31.579535392526378
Zimbabwe,2019,Countries,73.4785901510816
